iter	Passed	Remaining
0	8	8375
1	15	7802
2	22	7620
3	30	7579
4	37	7472
5	44	7405
6	52	7463
7	59	7398
8	66	7342
9	73	7282
10	80	7216
11	87	7190
12	94	7166
13	101	7168
14	108	7118
15	116	7144
16	123	7114
17	130	7101
18	136	7061
19	144	7074
20	151	7040
21	157	7022
22	165	7017
23	172	7014
24	179	7003
25	186	6981
26	193	6980
27	202	7034
28	210	7040
29	217	7016
30	223	6994
31	230	6978
32	237	6966
33	244	6948
34	251	6938
35	258	6923
36	266	6924
37	272	6908
38	279	6892
39	286	6880
40	294	6884
41	301	6873
42	308	6870
43	315	6856
44	322	6849
45	329	6838
46	337	6835
47	344	6830
48	351	6817
49	358	6807
50	364	6784
51	370	6747
52	374	6699
53	379	6655
54	384	6607
55	389	6562
56	394	6520
57	399	6480
58	405	6466
59	411	6443
60	416	6403
61	420	6364
62	425	6326
63	430	6291
64	433	6232
65	437	6198
66	442	6165
67	447	6133
68	452	6102
69	457	6073
70	461	6042
71	466	6013
72	471	5984
73	475	5956
74	480	5929
75	485	5902
76	490	5877
77	495	5851
78	499	5826
79	504	5803
80	509	5778
81	513	5753
82	518	5731
83	523	5708
84	528	5686
85	532	5664
86	537	5642
87	543	5636
88	550	5632
89	557	5633
90	565	5648
91	571	5644
92	578	5641
93	585	5642
94	592	5640
95	599	5642
96	606	5645
97	613	5642
98	619	5638
99	626	5635
100	632	5630
101	638	5623
102	645	5617
103	651	5612
104	657	5608
105	664	5602
106	670	5595
107	677	5591
108	683	5585
109	689	5580
110	695	5572
111	702	5567
112	708	5564
113	715	5561
114	722	5557
115	729	5558
116	735	5553
117	742	5548
118	748	5542
119	754	5533
120	760	5527
121	767	5523
122	774	5519
123	780	5512
124	786	5505
125	792	5498
126	799	5495
127	807	5499
128	815	5508
129	823	5508
130	831	5517
131	839	5522
132	848	5532
133	856	5536
134	865	5543
135	872	5544
136	881	5552
137	888	5552
138	896	5556
139	904	5556
140	912	5561
141	920	5562
142	929	5569
143	940	5590
144	955	5632
145	968	5663
146	979	5683
147	989	5698
148	1000	5714
149	1021	5787
150	1032	5806
151	1040	5805
152	1046	5795
153	1053	5786
154	1059	5777
155	1065	5767
156	1072	5756
157	1079	5754
158	1086	5745
159	1092	5735
160	1098	5723
161	1104	5712
162	1110	5701
163	1116	5690
164	1121	5676
165	1127	5664
166	1133	5653
167	1138	5639
